Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,CabinLetter,Title,Age
0,3,male,0,0,0.31377461552619934,S,NoCabin,Mr.,21.080501556396484
0,3,male,0,0,26.190326690673828,S,NoCabin,Mr.,27.441347122192383
0,3,male,-1,0,-3.9528822898864746,S,NoCabin,Mr.,16.636035919189453
0,3,female,2,0,82.99199676513672,C,C,Mr.,12.036065101623535
0,1,male,1,0,48.91044998168945,S,NoCabin,Mr.,17.044092178344727
0,3,female,1,1,95.33617401123047,S,B,Miss.,33.94002151489258
0,3,male,0,0,36.79181671142578,S,NoCabin,Mr.,36.61944580078125
0,3,male,1,1,-22.656084060668945,S,D,Mr.,26.694149017333984
0,3,male,1,0,50.87705612182617,S,NoCabin,Mr.,38.45408248901367
0,3,male,2,0,39.40080642700195,S,NoCabin,Mr.,28.840251922607422
0,3,male,2,1,34.55513381958008,S,B,Mrs.,48.1600227355957
0,3,female,0,0,39.96335983276367,C,C,Mrs.,27.482038497924805
0,3,male,1,0,26.20139503479004,S,C,Mr.,47.37770462036133
0,3,male,1,0,25.771060943603516,S,NoCabin,Mr.,19.074382781982422
0,3,male,0,-1,-1.7183928489685059,S,NoCabin,Mr.,47.9110107421875
0,3,female,1,1,27.380233764648438,C,C,Mrs.,-0.021686017513275146
0,3,female,0,1,-25.09953498840332,S,C,Miss.,21.045608520507812
0,3,male,0,1,29.317609786987305,S,B,Mr.,7.171143054962158
0,3,male,1,1,95.94681549072266,S,C,Misc.,29.84398651123047
0,3,female,1,1,48.47825622558594,S,C,Mrs.,26.13169288635254
0,3,male,2,0,75.20179748535156,S,B,Mr.,59.10824966430664
0,3,male,2,0,47.325626373291016,S,B,Mr.,24.778982162475586
0,3,male,0,0,5.799423694610596,S,NoCabin,Mr.,27.45568084716797
0,3,male,0,-1,5.6298508644104,S,NoCabin,Mr.,25.090068817138672
0,3,male,2,0,23.701644897460938,S,C,Mr.,25.744909286499023
0,3,female,0,1,32.32796096801758,C,C,Mrs.,29.066024780273438
0,2,male,1,1,51.17892074584961,S,B,Mr.,46.852386474609375
0,3,male,1,1,50.315982818603516,C,C,Miss.,24.83009147644043
0,3,male,1,1,60.0887565612793,S,C,Mr.,25.915634155273438
0,3,male,0,0,37.289466857910156,S,C,Mr.,24.49661636352539
0,3,male,0,0,-10.591286659240723,S,D,Mr.,35.615352630615234
0,3,male,-1,0,34.03761672973633,S,NoCabin,Mr.,40.45673370361328
0,3,male,0,0,83.76598358154297,S,B,Mr.,50.66739273071289
0,3,male,1,0,33.322994232177734,S,NoCabin,Mr.,33.10485076904297
0,3,female,1,1,43.1124267578125,C,C,Miss.,20.485078811645508
0,3,male,0,1,60.518497467041016,C,B,Mr.,7.351669788360596
0,3,male,1,0,38.966796875,S,NoCabin,Mr.,38.196468353271484
0,3,male,1,1,70.30177307128906,S,C,Mr.,40.50305938720703
0,3,male,0,0,22.311220169067383,S,NoCabin,Mr.,42.28287887573242
0,3,male,0,0,12.42209529876709,S,D,Mr.,39.97592544555664
0,3,male,1,0,44.04494094848633,S,D,Mr.,29.902362823486328
0,3,female,0,1,8.959681510925293,C,C,Mrs.,23.045995712280273
0,3,male,2,0,30.427228927612305,S,NoCabin,Mr.,28.202611923217773
0,3,male,1,0,14.126664161682129,S,B,Mr.,26.426795959472656
0,2,male,0,1,40.947715759277344,S,B,Mr.,33.76960754394531
0,3,male,1,0,65.73719024658203,S,B,Mr.,23.09031867980957
0,3,male,0,0,40.80006790161133,S,NoCabin,Mr.,35.51609802246094
0,2,male,0,0,2.1186909675598145,S,B,Mr.,28.025033950805664
0,3,male,0,0,-0.08192963898181915,S,NoCabin,Mr.,40.5096321105957
0,3,female,1,1,50.779022216796875,S,NoCabin,Mrs.,6.02786111831665
0,3,male,1,1,-3.0591673851013184,C,NoCabin,Mrs.,13.028244972229004
0,3,male,2,1,93.2527847290039,S,B,Mr.,42.637733459472656
0,2,male,1,0,15.93013858795166,S,B,Mr.,40.695289611816406
0,3,female,0,1,59.04278564453125,C,B,Mrs.,26.927175521850586
0,3,male,0,0,13.254258155822754,S,C,Mr.,18.238704681396484
0,3,male,1,1,43.806640625,S,NoCabin,Mr.,16.04290771484375
0,2,male,-1,1,17.70360565185547,S,B,Mr.,33.438533782958984
0,3,male,-1,0,53.546241760253906,C,C,Mr.,59.64189147949219
0,2,female,0,0,108.70765686035156,Q,B,Miss.,40.63087844848633
0,3,male,0,0,21.505708694458008,S,NoCabin,Mr.,21.094711303710938
0,3,male,1,1,91.25724792480469,C,NoCabin,Mr.,19.62812042236328
0,3,male,1,0,13.80972957611084,S,C,Mr.,25.24549674987793
0,3,male,1,1,95.5352783203125,S,B,Mr.,38.4469108581543
0,3,male,1,0,21.16556167602539,Q,C,Mrs.,19.242034912109375
0,3,female,0,0,34.849021911621094,S,B,Mr.,20.763269424438477
0,3,male,-1,0,-0.3975386321544647,S,NoCabin,Mr.,40.248756408691406
0,3,male,1,1,77.66957092285156,S,NoCabin,Mr.,30.73749351501465
0,3,male,1,0,4.358543872833252,S,D,Mr.,47.00017547607422
0,3,male,0,1,21.903072357177734,S,NoCabin,Mr.,33.27688217163086
0,3,female,1,1,71.29330444335938,C,C,Miss.,16.520326614379883
0,3,male,0,0,3.581434726715088,C,B,Mr.,22.157772064208984
0,3,male,0,0,43.50937271118164,S,NoCabin,Mr.,30.312744140625
0,3,male,-1,1,-16.251115798950195,S,NoCabin,Mr.,47.335357666015625
0,3,male,1,0,33.390289306640625,S,NoCabin,Mr.,28.466373443603516
0,3,male,1,0,64.68359375,S,B,Mr.,40.04376983642578
0,3,male,0,0,3.7080044746398926,S,B,Mr.,17.8428897857666
0,3,male,1,2,125.9059066772461,S,B,Mrs.,32.85639572143555
0,3,male,2,1,104.21244812011719,S,B,Mr.,67.78458404541016
0,3,male,1,0,0.47853901982307434,S,NoCabin,Mr.,11.317353248596191
0,3,male,0,0,8.845372200012207,S,NoCabin,Mr.,41.146732330322266
0,3,male,1,1,59.54554748535156,S,C,Mr.,38.350196838378906
0,3,male,1,0,58.44523239135742,S,B,Mr.,35.21076965332031
0,3,male,1,0,11.409895896911621,S,NoCabin,Mr.,16.712352752685547
0,3,male,2,1,47.47977828979492,S,C,Mr.,32.23765563964844
0,3,female,1,1,123.27608489990234,S,B,Miss.,29.51535415649414
0,3,female,1,1,32.672550201416016,C,C,Miss.,18.88525390625
0,3,male,2,0,35.361473083496094,S,NoCabin,Mr.,24.492938995361328
0,1,male,1,1,35.61747741699219,S,E,Mr.,29.789752960205078
0,3,male,1,1,13.75249195098877,S,D,Mr.,38.918670654296875
0,3,male,1,0,-0.11150498688220978,S,D,Mr.,34.61112976074219
0,3,female,1,1,38.66814041137695,S,NoCabin,Mrs.,19.685224533081055
0,3,male,1,0,16.168842315673828,S,C,Mr.,37.42030715942383
0,3,male,1,0,0.4854283630847931,S,D,Mr.,27.574234008789062
0,3,male,1,1,25.860944747924805,S,C,Mr.,35.192779541015625
0,3,male,-1,0,-19.933401107788086,S,D,Mr.,34.515663146972656
0,3,male,0,-1,40.9243049621582,S,C,Mr.,29.89685821533203
0,3,female,1,1,63.35967254638672,Q,C,Miss.,17.196577072143555
0,3,male,0,0,2.382162570953369,S,B,Mr.,14.528938293457031
0,3,male,1,0,18.785125732421875,S,NoCabin,Mr.,28.231998443603516
0,3,male,2,1,63.20869064331055,S,C,Mr.,27.53682518005371
0,3,male,2,1,65.05996704101562,S,C,Mrs.,31.417387008666992
0,3,female,0,1,16.7453670501709,S,NoCabin,Mrs.,18.417333602905273
0,3,male,1,0,16.980457305908203,S,D,Mr.,53.652103424072266
0,3,male,1,1,70.32000732421875,S,B,Mr.,42.09669494628906
0,3,male,1,0,3.328535556793213,S,NoCabin,Mr.,34.816375732421875
0,3,male,-1,0,-19.055341720581055,S,NoCabin,Mr.,41.484500885009766
0,3,male,1,0,61.46563720703125,S,C,Mr.,23.948163986206055
0,2,male,-1,0,-55.4757194519043,S,NoCabin,Mr.,26.65241813659668
0,3,male,2,1,63.04143524169922,S,C,Mr.,44.188777923583984
0,3,male,0,0,54.471073150634766,S,D,Mr.,44.06733322143555
0,1,male,1,0,41.3429069519043,S,B,Misc.,13.969533920288086
0,3,male,1,1,114.18989562988281,C,NoCabin,Mr.,23.963706970214844
0,3,male,1,0,59.54555130004883,S,C,Mr.,34.465145111083984
0,3,male,0,0,45.00608825683594,S,NoCabin,Mr.,25.94929313659668
0,3,male,0,0,38.78217697143555,C,C,Mr.,26.648021697998047
0,3,male,1,0,43.237953186035156,S,NoCabin,Mr.,14.849371910095215
0,3,male,1,0,26.503793716430664,S,C,Mr.,31.248626708984375
0,3,male,1,1,47.704524993896484,C,C,Mr.,31.074195861816406
