iter	RMSE
0	32.23512512
1	31.44853044
2	30.67095749
3	29.93001875
4	29.19916907
5	28.48418402
6	27.81587904
7	27.17265222
8	26.53972351
9	25.92541503
10	25.33090527
11	24.75286462
12	24.20910743
13	23.65917137
14	23.14422983
15	22.6764141
16	22.2190757
17	21.74336041
18	21.29547675
19	20.85773851
20	20.44424979
21	20.03961631
22	19.64986315
23	19.26349612
24	18.91482526
25	18.55476672
26	18.21721807
27	17.89859134
28	17.60050173
29	17.29553739
30	17.01270778
31	16.74428965
32	16.50662878
33	16.2640507
34	16.0272228
35	15.79001104
36	15.56803903
37	15.35412403
38	15.17318398
39	14.98227098
40	14.79111235
41	14.59756908
42	14.42715617
43	14.25565333
44	14.11428568
45	13.96847378
46	13.82361169
47	13.68386901
48	13.55791634
49	13.43589089
50	13.31668294
51	13.21213366
52	13.10234222
53	12.98891452
54	12.88651548
55	12.79389106
56	12.70533168
57	12.61626167
58	12.5344898
59	12.46167971
60	12.39082841
61	12.32188311
62	12.25279589
63	12.183034
64	12.12245264
65	12.06298257
66	12.00611039
67	11.95309259
68	11.91110077
69	11.85644513
70	11.81176542
71	11.75041532
72	11.70911847
73	11.67048991
74	11.6272244
75	11.57574285
76	11.5251265
77	11.49309503
78	11.46562157
79	11.43412103
80	11.40592708
81	11.38294656
82	11.34754821
83	11.31429215
84	11.29381979
85	11.26752593
86	11.24698547
87	11.22652488
88	11.20495085
89	11.18798754
90	11.17146422
91	11.13813528
92	11.12305242
93	11.10061395
94	11.08435425
95	11.06914325
96	11.05202991
97	11.04229558
98	11.02712033
99	11.01197931
100	10.99594479
101	10.98391462
102	10.96043763
103	10.94428511
104	10.92072193
105	10.90940218
106	10.89318202
107	10.88638466
108	10.88203624
109	10.86869364
110	10.86125637
111	10.84072281
112	10.83574768
113	10.82416117
114	10.80725017
115	10.79917939
116	10.7897387
117	10.78341799
118	10.77735348
119	10.7740295
120	10.76844389
121	10.76147826
122	10.75714801
123	10.75030433
124	10.74486474
125	10.74207618
126	10.734568
127	10.72854676
128	10.72574784
129	10.72209457
130	10.71634711
131	10.71044027
132	10.70758091
133	10.69728102
134	10.68944863
135	10.6876633
136	10.67322174
137	10.66731871
138	10.66300513
139	10.65971785
140	10.6547265
141	10.65367177
142	10.64774608
143	10.64579136
144	10.64259953
145	10.64206386
146	10.63666613
147	10.63441357
148	10.63357549
149	10.63130837
150	10.6271655
151	10.61833547
152	10.61287463
153	10.61174047
154	10.61071086
155	10.60937381
156	10.60643253
157	10.60553292
158	10.59821244
159	10.59619076
160	10.58973489
161	10.58721604
162	10.5841766
163	10.57906842
164	10.57570798
165	10.57291309
166	10.57148173
167	10.5679439
168	10.56098486
169	10.55557314
170	10.54973963
171	10.54706962
172	10.5454843
173	10.54516576
174	10.54257346
175	10.54150595
176	10.53966909
177	10.53838273
178	10.53699756
179	10.5353884
180	10.53194909
181	10.52727602
182	10.51737487
183	10.51528822
184	10.51503692
185	10.50983891
186	10.50692236
187	10.50530599
188	10.49851649
189	10.49777961
190	10.49557803
191	10.49475857
192	10.49432849
193	10.4924964
194	10.48902008
195	10.48170592
196	10.48118082
197	10.48105398
198	10.4807079
199	10.47752321
200	10.47402364
201	10.4739385
202	10.47323854
203	10.46780445
204	10.46605658
205	10.46481293
206	10.4604378
207	10.45867405
208	10.45573172
209	10.45488298
210	10.45178045
211	10.45006341
212	10.44456593
213	10.43966299
214	10.43683901
215	10.43478134
216	10.43468382
217	10.43322406
218	10.43026563
219	10.42707813
220	10.4210677
221	10.4190673
222	10.41902319
223	10.41808954
224	10.41591314
225	10.41530593
226	10.41343735
227	10.4108317
228	10.41023156
